code2,code3,name,code3en
,,,abk
,,,aar
,,,aka
,,,arg
,,,asm
,,,ava
,,,ave
,,,aym
,,,bam
,,,bak
,,,bis
,,,cha
,,,che
ny,nya,"Chichewa, Chewa, Nyanja",nya
cu,chu,"Church Slavonic, Old Slavonic, Old Church Slavonic",chu
,,,chv
,,,cor
,,,cos
cr,cre,Cree,cre
dv,div,"Divehi, Dhivehi, Maldivian",div
,,,dzo
,,,ewe
,,,fao
fy,fry,Western Frisian,fry
,,,ful
,,,gla
gl,glg,Galician,glg
lg,lug,Ganda,lug
kl,kal,"Kalaallisut, Greenlandic",kal
gn,grn,Guarani,grn
gu,guj,Gujarati,guj
ha,hau,Hausa,hau
hz,her,Herero,her
ho,hmo,Hiri Motu,hmo
io,ido,Ido,ido
ig,ibo,Igbo,ibo
ia,ina,Interlingua (International Auxiliary Language Association),ina
ie,ile,"Interlingue, Occidental",ile
iu,iku,Inuktitut,iku
ik,ipk,Inupiaq,ipk
jv,jav,Javanese,jav
kn,kan,Kannada,kan
kr,kau,Kanuri,kau
ks,kas,Kashmiri,kas
ki,kik,"Kikuyu, Gikuyu",kik
rw,kin,Kinyarwanda,kin
kv,kom,Komi,kom
kg,kon,Kongo,kon
kj,kua,"Kuanyama, Kwanyama",kua
li,lim,"Limburgan, Limburger, Limburgish",lim
ln,lin,Lingala,lin
lu,lub,Luba-Katanga,lub
lb,ltz,"Luxembourgish, Letzeburgesch",ltz
mg,mlg,Malagasy,mlg
ml,mal,Malayalam,mal
gv,glv,Manx,glv
mr,mar,Marathi,mar
mh,mah,Marshallese,mah
na,nau,Nauru,nau
nd,nde,North Ndebele,nde
nr,nbl,South Ndebele,nbl
ng,ndo,Ndonga,ndo
nb,nob,Norwegian Bokmål,nob
nn,nno,Norwegian Nynorsk,nno
ii,iii,"Sichuan Yi, Nuosu",iii
oc,oci,Occitan,oci
oj,oji,Ojibwa,oji
or,ori,Oriya,ori
om,orm,Oromo,orm
os,oss,"Ossetian, Ossetic",oss
pi,pli,Pali,pli
ps,pus,"Pashto, Pushto",pus
pa,pan,"Punjabi, Panjabi",pan
qu,que,Quechua,que
rm,roh,Romansh,roh
rn,run,Rundi,run
se,sme,Northern Sami,sme
sm,smo,Samoan,smo
sg,sag,Sango,sag
sa,san,Sanskrit,san
sc,srd,Sardinian,srd
sn,sna,Shona,sna
sd,snd,Sindhi,snd
st,sot,Southern Sotho,sot
tt,tat,Tatar,tat
ti,tir,Tigrinya,tir
ts,tso,Tsonga,tso
tw,twi,Twi,twi
ug,uig,"Uighur, Uyghur",uig
ve,ven,Venda,ven
vo,vol,Volapük,vol
wa,wln,Walloon,wln
cy,cym,Welsh,wel
wo,wol,Wolof,wol
yo,yor,Yoruba,yor
za,zha,"Zhuang, Chuang",zha
