category_emoji,category_value,category_label,niche_emoji,niche_value,niche_label,topic
🔎,sciences,Sciences,🔊,acoustics,Acoustics,A-weighting
🔎,sciences,Sciences,🔊,acoustics,Acoustics,Absorption coefficient
🔎,sciences,Sciences,🔊,acoustics,Acoustics,Anechoic chamber
🔎,sciences,Sciences,🔊,acoustics,Acoustics,Animal communication
🔎,sciences,Sciences,🔊,acoustics,Acoustics,Beat frequency
🔎,sciences,Sciences,🔊,acoustics,Acoustics,Binaural hearing
🔎,sciences,Sciences,🔊,acoustics,Acoustics,Decibel scale
🔎,sciences,Sciences,🔊,acoustics,Acoustics,Doppler effect
🔎,sciences,Sciences,🔊,acoustics,Acoustics,Echo
🔎,sciences,Sciences,🔊,acoustics,Acoustics,Equal loudness contour
🔎,sciences,Sciences,🔊,acoustics,Acoustics,Formant
🔎,sciences,Sciences,🔊,acoustics,Acoustics,Fourier analysis of sound
🔎,sciences,Sciences,🔊,acoustics,Acoustics,Fundamental frequency
🔎,sciences,Sciences,🔊,acoustics,Acoustics,Harmonics
🔎,sciences,Sciences,🔊,acoustics,Acoustics,Hearing range
🔎,sciences,Sciences,🔊,acoustics,Acoustics,Impedance matching
🔎,sciences,Sciences,🔊,acoustics,Acoustics,Infrasound
🔎,sciences,Sciences,🔊,acoustics,Acoustics,Loudspeaker design
🔎,sciences,Sciences,🔊,acoustics,Acoustics,Masking
🔎,sciences,Sciences,🔊,acoustics,Acoustics,Mode shape
🔎,sciences,Sciences,🔊,acoustics,Acoustics,Noise cancellation
🔎,sciences,Sciences,🔊,acoustics,Acoustics,Octave band
🔎,sciences,Sciences,🔊,acoustics,Acoustics,Phonon
🔎,sciences,Sciences,🔊,acoustics,Acoustics,Psychoacoustics
🔎,sciences,Sciences,🔊,acoustics,Acoustics,Reverberation time
🔎,sciences,Sciences,🔊,acoustics,Acoustics,Sabine equation
🔎,sciences,Sciences,🔊,acoustics,Acoustics,Sound propagation
🔎,sciences,Sciences,🔊,acoustics,Acoustics,Spectrum analyzer
🔎,sciences,Sciences,🔊,acoustics,Acoustics,Standing wave
🔎,sciences,Sciences,🔊,acoustics,Acoustics,Ultrasound
🔎,sciences,Sciences,🛸,astrobiology,Astrobiology,Abiogenesis
🔎,sciences,Sciences,🛸,astrobiology,Astrobiology,Archaea
🔎,sciences,Sciences,🛸,astrobiology,Astrobiology,Atacama Desert
🔎,sciences,Sciences,🛸,astrobiology,Astrobiology,Biosignatures
🔎,sciences,Sciences,🛸,astrobiology,Astrobiology,Comets
🔎,sciences,Sciences,🛸,astrobiology,Astrobiology,Drake equation
🔎,sciences,Sciences,🛸,astrobiology,Astrobiology,Endoliths
🔎,sciences,Sciences,🛸,astrobiology,Astrobiology,Europa
🔎,sciences,Sciences,🛸,astrobiology,Astrobiology,Exoplanets
🔎,sciences,Sciences,🛸,astrobiology,Astrobiology,Extremophiles
🔎,sciences,Sciences,🛸,astrobiology,Astrobiology,Goldilocks zone
🔎,sciences,Sciences,🛸,astrobiology,Astrobiology,Great Filter
🔎,sciences,Sciences,🛸,astrobiology,Astrobiology,Habitable zone
🔎,sciences,Sciences,🛸,astrobiology,Astrobiology,Hydrothermal vents
🔎,sciences,Sciences,🛸,astrobiology,Astrobiology,Interstellar medium
🔎,sciences,Sciences,🛸,astrobiology,Astrobiology,Life detection
🔎,sciences,Sciences,🛸,astrobiology,Astrobiology,Mars
🔎,sciences,Sciences,🛸,astrobiology,Astrobiology,Methane on Mars
🔎,sciences,Sciences,🛸,astrobiology,Astrobiology,Panspermia
🔎,sciences,Sciences,🛸,astrobiology,Astrobiology,Photolysis
🔎,sciences,Sciences,🛸,astrobiology,Astrobiology,Protoplanets
🔎,sciences,Sciences,🛸,astrobiology,Astrobiology,Pulsar planets
🔎,sciences,Sciences,🛸,astrobiology,Astrobiology,Radiogenic
🔎,sciences,Sciences,🛸,astrobiology,Astrobiology,Rare Earth hypothesis
🔎,sciences,Sciences,🛸,astrobiology,Astrobiology,SETI
🔎,sciences,Sciences,🛸,astrobiology,Astrobiology,Stellar nucleosynthesis
🔎,sciences,Sciences,🛸,astrobiology,Astrobiology,Tardigrades
🔎,sciences,Sciences,🛸,astrobiology,Astrobiology,Titan
🔎,sciences,Sciences,🛸,astrobiology,Astrobiology,Viruses
🔎,sciences,Sciences,🛸,astrobiology,Astrobiology,Zircon
🔎,sciences,Sciences,🔭,astronomy,Astronomy,Asteroid belt
🔎,sciences,Sciences,🔭,astronomy,Astronomy,Aurora
🔎,sciences,Sciences,🔭,astronomy,Astronomy,Big Bang theory
🔎,sciences,Sciences,🔭,astronomy,Astronomy,Binary star system
🔎,sciences,Sciences,🔭,astronomy,Astronomy,Black hole
🔎,sciences,Sciences,🔭,astronomy,Astronomy,Comet
🔎,sciences,Sciences,🔭,astronomy,Astronomy,Cosmic microwave background
🔎,sciences,Sciences,🔭,astronomy,Astronomy,Dark energy
