language,english,vocabulary
lithuanian,a,grožis
lithuanian,able,sugebėti
lithuanian,about,apie
lithuanian,above,aukščiau
lithuanian,act,aktas
lithuanian,add,pridėti
lithuanian,afraid,bijau
lithuanian,after,po
lithuanian,again,vėl
lithuanian,against,prieš
lithuanian,age,amžius
lithuanian,ago,prieš
lithuanian,agree,susitarti
lithuanian,air,oro
lithuanian,all,visi
lithuanian,allow,leisti
lithuanian,also,taip pat
lithuanian,always,visada
lithuanian,am,pm
lithuanian,among,tarp
lithuanian,an,
lithuanian,and,ir
lithuanian,anger,pyktis
lithuanian,animal,gyvūnas
lithuanian,answer,atsakymas
lithuanian,any,bet koks
lithuanian,appear,pasirodyti
lithuanian,apple,obuolių
lithuanian,are,yra
lithuanian,area,plotas
lithuanian,arm,ranka
lithuanian,arrange,susitarti
lithuanian,arrive,atvykti
lithuanian,art,menas
lithuanian,as,kaip
lithuanian,ask,paklausti
lithuanian,at,pradėjo
lithuanian,atom,atomas
lithuanian,baby,kūdikis
lithuanian,back,atgal
lithuanian,bad,blogas
lithuanian,ball,kamuoliukas
lithuanian,band,grupė
lithuanian,bank,bankas
lithuanian,bar,baras
lithuanian,base,bazė
lithuanian,basic,pagrindinis
lithuanian,bat,bat
lithuanian,be,būti
lithuanian,bear,būti
lithuanian,beat,įveikti
lithuanian,beauty,grožis
lithuanian,bed,lova
lithuanian,been,buvo
lithuanian,before,prieš
lithuanian,began,pradėjo
lithuanian,begin,pradėti
lithuanian,behind,už
lithuanian,believe,tikėti
lithuanian,bell,varpas
lithuanian,best,geriausias
lithuanian,better,geriau
lithuanian,between,tarp
lithuanian,big,didelis
lithuanian,bird,paukštis
lithuanian,bit,tiek
lithuanian,black,juodas
lithuanian,block,blokas
lithuanian,blood,kraujo
lithuanian,blow,smūgis
lithuanian,blue,mėlynas
lithuanian,board,lenta
lithuanian,boat,valtis
lithuanian,body,kūnas
lithuanian,bone,kaulas
lithuanian,book,knyga
lithuanian,born,gimė
lithuanian,both,abu
lithuanian,bottom,apačia
lithuanian,bought,nusipirkau
lithuanian,box,dėžutė
lithuanian,boy,berniukas
lithuanian,branch,filialas
lithuanian,bread,duona
lithuanian,break,pertrauka
lithuanian,bright,šviesus
lithuanian,bring,atnešti
lithuanian,broad,platus
lithuanian,broke,sumušė
lithuanian,brother,brolis
lithuanian,brought,atnešė
lithuanian,brown,rudi
lithuanian,build,statyti
lithuanian,burn,deginti
lithuanian,busy,užimtas
lithuanian,but,tačiau
lithuanian,buy,pirkti
lithuanian,by,pagal
lithuanian,call,kvietimas
lithuanian,came,atėjo
lithuanian,camp,stovykla
lithuanian,can,galima
lithuanian,capital,kapitalas
lithuanian,captain,kapitonas
lithuanian,car,automobilių
lithuanian,card,kortelė
lithuanian,care,priežiūra
lithuanian,carry,vykdyti
lithuanian,case,atveju
lithuanian,cat,katė
lithuanian,catch,laimikis
lithuanian,caught,sugauti
lithuanian,cause,priežastis
lithuanian,cell,ląstelė
lithuanian,cent,centas
lithuanian,center,centras
lithuanian,century,amžius
lithuanian,certain,tikras
lithuanian,chair,kėdė
lithuanian,chance,tikimybė
lithuanian,change,pokytis
lithuanian,character,charakteris
lithuanian,charge,imti
lithuanian,chart,schema
lithuanian,check,patikrinti
lithuanian,chick,jauniklį
lithuanian,chief,vyriausiasis
lithuanian,child,vaikas
lithuanian,children,vaikai
lithuanian,choose,pasirinkti
lithuanian,chord,styga
lithuanian,circle,ratas
lithuanian,city,miestas
lithuanian,claim,reikalavimas
lithuanian,class,klasė
lithuanian,clean,švarus
lithuanian,clear,"aišku,"
lithuanian,climb,lipti
lithuanian,clock,laikrodis
lithuanian,close,arti
lithuanian,clothe,aprengti
lithuanian,cloud,debesis
lithuanian,coast,pakrantė
lithuanian,coat,kailis
lithuanian,cold,šaltas
lithuanian,collect,rinkti
lithuanian,colony,kolonija
lithuanian,color,spalva
lithuanian,column,stulpelis
lithuanian,come,ateiti
lithuanian,common,bendras
lithuanian,company,įmonė
lithuanian,compare,palyginti
lithuanian,complete,pilnas
lithuanian,condition,sąlyga
lithuanian,connect,prisijungti
lithuanian,consider,apsvarstyti
lithuanian,consonant,priebalsis
lithuanian,contain,būti
lithuanian,continent,žemynas
lithuanian,continue,toliau
lithuanian,control,valdymas
lithuanian,cook,virėjas
lithuanian,cool,kietas
lithuanian,copy,kopija
lithuanian,corn,kukurūzai
lithuanian,corner,kampas
lithuanian,correct,teisingas
lithuanian,cost,kaina
lithuanian,cotton,medvilnės
lithuanian,could,galėtų
lithuanian,count,skaičiuoti
lithuanian,country,šalis
lithuanian,course,žinoma
lithuanian,cover,dangtis
lithuanian,cow,karvė
lithuanian,crease,raukšlėtis
lithuanian,create,kurti
lithuanian,crop,pasėlių
lithuanian,cross,kirsti
lithuanian,crowd,minia
lithuanian,cry,šauksmas
lithuanian,current,dabartinis
lithuanian,cut,supjaustyti
lithuanian,dad,tėtis
lithuanian,dance,šokis
lithuanian,danger,pavojus
lithuanian,dark,tamsus
lithuanian,day,dieną
lithuanian,dead,miręs
