language,english,vocabulary
somali,a,a
somali,able,awood
somali,about,ku saabsan
somali,above,kor ku xusan
somali,act,fal
somali,add,ku dar
somali,afraid,ka cabsi
somali,after,ka dib
somali,again,mar kale
somali,against,ka hor
somali,age,da
somali,ago,ka hor
somali,agree,heshiin
somali,air,hawada
somali,all,dhan
somali,allow,u oggolaadaan
somali,also,sidoo kale
somali,always,had iyo jeer
somali,am,ahay
somali,among,ka mid ah
somali,an,ah
somali,and,iyo
somali,anger,cadho
somali,animal,xoolaha
somali,answer,jawaabta
somali,any,wax
somali,appear,muuqdaan
somali,apple,tufaax
somali,are,waa
somali,area,deegaanka
somali,arm,gacanta
somali,arrange,diyaarin
somali,arrive,yimaadaan
somali,art,farshaxan
somali,as,sida
somali,ask,weydii
somali,at,at
somali,atom,attam
somali,baby,ilmaha
somali,back,back
somali,bad,xun
somali,ball,kubada
somali,band,urur
somali,bank,bangi
somali,bar,ood
somali,base,saldhig
somali,basic,aasaasiga ah
somali,bat,fiidmeerta
somali,be,noqon
somali,bear,dhali
somali,beat,garaacday
somali,beauty,qurux
somali,bed,sariirta
somali,been,ahaa
somali,before,ka hor inta
somali,began,bilaabeen
somali,begin,bilaabaan
somali,behind,ka danbeeya
somali,believe,aaminsanahay
somali,bell,dawan
somali,best,ugu fiican
somali,better,fiican
somali,between,ka dhexeeya
somali,big,weyn
somali,bird,shimbir
somali,bit,qayb
somali,black,madow
somali,block,joojin
somali,blood,dhiig
somali,blow,dhabarjab
somali,blue,buluug
somali,board,guddiga
somali,boat,doon
somali,body,jirka
somali,bone,lafta
somali,book,buugga
somali,born,dhashay
somali,both,labada
somali,bottom,ugu hooseysa
somali,bought,iibsaday
somali,box,sanduuq
somali,boy,wiil
somali,branch,laan
somali,bread,kibis
somali,break,fasax
somali,bright,dhalaalaya
somali,bring,keeno
somali,broad,ballaaran oo
somali,broke,jebisay
somali,brother,walaalkiis
somali,brought,keenay
somali,brown,brown
somali,build,dhiso
somali,burn,gubi
somali,busy,mashquul
somali,but,laakiin
somali,buy,iibsadaan
somali,by,by
somali,call,wac
somali,came,yimid
somali,camp,xerada
somali,can,awood
somali,capital,magaalada
somali,captain,kabtanka
somali,car,baabuur
somali,card,kaarka
somali,care,daryeelka
somali,carry,qaado
somali,case,case
somali,cat,cat
somali,catch,qabsado
somali,caught,qabto
somali,cause,sababta
somali,cell,unug
somali,cent,boqolkiiba
somali,center,xarunta
somali,century,qarnigii
somali,certain,qaarkood
somali,chair,kursi
somali,chance,fursad
somali,change,isbedelka
somali,character,qof
somali,charge,ka qaadaan
somali,chart,shaxda
somali,check,hubiso
somali,chick,ubad
somali,chief,taliyaha
somali,child,ilmahaaga
somali,children,carruurta
somali,choose,dooran
somali,chord,shaqoxannibista
somali,circle,goobaabin
