language,english,vocabulary
persian,a,دست
persian,able,قادر
persian,about,در مورد
persian,above,بالا
persian,act,عمل
persian,add,اضافه
persian,afraid,ترس
persian,after,پس از
persian,again,دوباره
persian,against,در برابر
persian,age,سن
persian,ago,پیش
persian,agree,توافق
persian,air,هوا
persian,all,همه
persian,allow,اجازه
persian,also,همچنین
persian,always,همیشه
persian,am,ساعت
persian,among,در میان
persian,an,پا
persian,and,و
persian,anger,خشم
persian,animal,حیوانات
persian,answer,پاسخ
persian,any,هر
persian,appear,به نظر می رسد
persian,apple,سیب
persian,are,هستیم
persian,area,منطقه
persian,arm,دست
persian,arrange,ترتیب
persian,arrive,رسیدن
persian,art,هنر
persian,as,عنوان
persian,ask,بپرسید
persian,at,در
persian,atom,اتم
persian,baby,کودک
persian,back,به عقب
persian,bad,بد
persian,ball,توپ
persian,band,گروه
persian,bank,بانک
persian,bar,بار
persian,base,پایه
persian,basic,اساسی
persian,bat,خفاش
persian,be,بودن
persian,bear,تحمل
persian,beat,ضرب و شتم
persian,beauty,زیبایی
persian,bed,تخت
persian,been,بوده
persian,before,قبل
persian,began,آغاز شد
persian,begin,شروع
persian,behind,پشت سر
persian,believe,باور
persian,bell,زنگ
persian,best,بهترین
persian,better,بهتر
persian,between,بین
persian,big,بزرگ
persian,bird,پرنده
persian,bit,بیت
persian,black,سیاه و سفید
persian,block,بلوک
persian,blood,خون
persian,blow,ضربه
persian,blue,آبی
persian,board,هیئت مدیره
persian,boat,قایق
persian,body,بدن
persian,bone,استخوان
persian,book,کتاب
persian,born,متولد
persian,both,هر دو
persian,bottom,پایین
persian,bought,خریداری
persian,box,جعبه
persian,boy,پسر
persian,branch,شاخه
persian,bread,نان
persian,break,استراحت
persian,bright,روشن
persian,bring,را
persian,broad,پهن
persian,broke,شکست
persian,brother,برادر
persian,brought,آورده
persian,brown,قهوه ای
persian,build,ساخت
persian,burn,رایت
persian,busy,مشغول
persian,but,اما
persian,buy,خرید
persian,by,توسط
persian,call,تماس
persian,came,آمد
persian,camp,اردوگاه
persian,can,می توانید
persian,capital,سرمایه
persian,captain,کاپیتان
persian,car,اتومبیل
persian,card,کارت
persian,care,مراقبت
persian,carry,حمل
persian,case,مورد
persian,cat,گربه
persian,catch,گرفتن
persian,caught,گرفتار
persian,cause,علت
persian,cell,سلول
persian,cent,در صد
persian,center,مرکز
persian,century,قرن
persian,certain,معین
persian,chair,صندلی
persian,chance,شانس
persian,change,تغییر
persian,character,شخصیت
persian,charge,شارژ
persian,chart,نمودار
persian,check,بررسی
persian,chick,جوجه
persian,chief,رئیس
persian,child,کودک
persian,children,کودکان
persian,choose,کنید
persian,chord,وتر
persian,circle,دایره
persian,city,شهرستان
persian,claim,ادعا
persian,class,کلاس
persian,clean,تمیز
persian,clear,روشن
persian,climb,صعود
persian,clock,ساعت
persian,close,نزدیک
persian,clothe,پوشاندن
persian,cloud,ابر
persian,coast,ساحل
persian,coat,کت
persian,cold,سرد
persian,collect,جمع آوری
persian,colony,مستعمره
persian,color,رنگ
persian,column,ستون
persian,come,آمده
persian,common,مشترک
persian,company,شرکت
persian,compare,مقایسه
persian,complete,کامل
persian,condition,شرایط
persian,connect,اتصال
persian,consider,در نظر
persian,consonant,همخوان
persian,contain,شامل
persian,continent,قاره
persian,continue,ادامه
persian,control,کنترل
persian,cook,آشپز
persian,cool,سرد
persian,copy,کپی
persian,corn,ذرت
persian,corner,گوشه
persian,correct,درست
persian,cost,هزینه
persian,cotton,پنبه
persian,could,می تواند
persian,count,شمار
persian,country,کشور
persian,course,البته
persian,cover,پوشش
persian,cow,گاو
persian,crease,چین
persian,create,ایجاد
persian,crop,محصول
persian,cross,صلیب
persian,crowd,جمعیت
persian,cry,فریاد
persian,current,جریان
persian,cut,برش
persian,dad,پدر
persian,dance,رقص
persian,danger,خطر
persian,dark,تاریک
persian,day,روز
persian,dead,مرده
persian,deal,معامله
persian,dear,عزیز
persian,death,مرگ
persian,decide,تصمیم گی
persian,decimal,اعشاری
persian,deep,عمیق
persian,degree,درجه
persian,depend,بستگی دارد
persian,describe,توصیف
persian,desert,بیابان
persian,design,طراحی
persian,determine,تعیین
persian,develop,توسعه
persian,dictionary,فرهنگ لغت
persian,did,انجام
persian,die,مرگ
persian,differ,متفاوت
persian,difficult,دشوار
persian,direct,مستقیم
persian,discuss,بحث
persian,distant,دور
persian,divide,تقسیم
persian,division,بخش
persian,do,انجام
persian,doctor,دکتر
persian,does,میکند
persian,dog,سگ
persian,dollar,دلار
persian,done,انجام
persian,don’t,نکن
persian,door,درب
persian,double,دو
persian,down,پایین
persian,draw,قرعه کشی
persian,dream,رویا
persian,dress,لباس
persian,drink,نوشابه
persian,drive,درایو
persian,drop,رها کردن
persian,dry,خشک
persian,duck,اردک
persian,during,در
persian,each,هر
persian,ear,گوش
persian,early,اوایل
persian,earth,زمین
persian,ease,آسان
persian,east,شرق
persian,eat,خوردن
persian,edge,لبه
persian,effect,اثر
persian,egg,تخم مرغ
persian,eight,هشت
persian,either,یا
persian,electric,برق
persian,element,عنصر
persian,else,دیگر
persian,end,پایان
persian,enemy,دشمن
persian,energy,انرژی
persian,engine,موتور
persian,enough,کافی
persian,enter,وارد شدن
persian,equal,برابر
persian,equate,برابر
persian,especially,ویژه
persian,even,حتی
persian,evening,شب
persian,event,رویداد
persian,ever,همیشه
persian,every,هر
persian,exact,دقیق
persian,example,مثال
persian,except,جز
persian,excite,تحریک
persian,exercise,ورزش
persian,expect,انتظار
persian,experience,تجربه
persian,experiment,تجربه
persian,eye,چشم
persian,face,صورت
persian,fact,واقع
persian,fair,عادلانه
persian,fall,سقوط
persian,family,خانواده
persian,famous,معروف
persian,far,بسیار
persian,farm,مزرعه
persian,fast,سریع
persian,fat,چربی
persian,father,پدر
persian,favor,به نفع
persian,fear,ترس
persian,feed,خوراک
persian,feel,احساس
persian,feet,پا
persian,fell,سقوط
persian,felt,نمد
persian,few,کم
persian,field,حوزه
persian,fig,انجیر
persian,fight,مبارزه
persian,figure,شکل
persian,fill,پر
persian,final,نهایی
persian,find,پیدا کردن
persian,fine,خوب
persian,finger,انگشت
persian,finish,پایان
persian,fire,آتش
persian,first,اولین
persian,fish,ماهی
persian,fit,مناسب
persian,five,پنج
persian,flat,تخت
persian,floor,طبقه
persian,flow,جریان
persian,flower,گل
persian,fly,پرواز
persian,follow,به دنبال
persian,food,مواد غذایی
persian,foot,پا
persian,for,برای
persian,force,نیروی
persian,forest,جنگل
persian,form,فرم
persian,forward,به جلو
persian,found,یافت
persian,four,چهار
persian,fraction,بخش
persian,free,رایگان
persian,fresh,تازه
persian,friend,دوستان
persian,from,از
persian,front,جلو
persian,fruit,میوه
persian,full,کامل
persian,fun,سرگرم
persian,game,بازی
persian,garden,باغ
persian,gas,گاز
persian,gather,جمع کردن
persian,gave,به
persian,general,عمومی
persian,gentle,ملایم
persian,get,دریافت
persian,girl,دختر
persian,give,را
persian,glad,خوشحالم
persian,glass,شیشه ای
persian,go,به
persian,gold,طلا
persian,gone,رفته
persian,good,خوب
persian,got,رو
persian,govern,حکومت
persian,grand,بزرگ
persian,grass,چمن
persian,gray,خاکستری
persian,great,بزرگ
persian,green,سبز
persian,grew,رشد
persian,ground,زمین
persian,group,گروه
persian,grow,رشد
persian,guess,حدس می زنم
persian,guide,راهنمایی
persian,gun,اسلحه
persian,had,حال
persian,hair,مو
persian,half,نیم
persian,hand,دست
persian,happen,اتفاق می افتد
persian,happy,شاد
persian,hard,سخت
persian,has,دارد
persian,hat,کلاه
persian,have,دارند
persian,he,او
persian,head,سر
persian,hear,گوش
persian,heard,شنیده
persian,heart,قلب
persian,heat,حرارت
persian,heavy,سنگین
persian,held,برگزار شد
persian,help,کمک
persian,her,او
persian,here,اینجا
persian,high,بالا
persian,hill,تپه
persian,him,او
persian,his,خود
persian,history,تاریخ
persian,hit,ضربه
persian,hold,نگه داشتن
persian,hole,سوراخ
persian,home,خانه
persian,hope,امیدوارم
persian,horse,اسب
persian,hot,داغ
persian,hour,ساعت
persian,house,خانه
persian,how,چگونه
persian,huge,بزرگ
persian,human,انسانی
persian,hundred,صد
persian,hunt,شکار
persian,hurry,عجله ب
persian,i,من
persian,ice,یخ
persian,idea,ایده
persian,if,اگر
persian,imagine,تصور کنید
persian,in,در
persian,inch,اینچ
persian,include,عبارتند از
persian,indicate,نشان می دهد
persian,industry,صنعت
persian,insect,حشرات
persian,instant,فوری
persian,instrument,ابزار
persian,interest,علاقه
persian,invent,اختراع
persian,iron,اهن
persian,is,است
persian,island,جزیره
persian,it,آن
persian,job,کار
persian,join,عضویت
persian,joy,لذت
persian,jump,پرش به
persian,just,فقط
persian,keep,نگه داشتن
persian,kept,نگه داشته
persian,key,کلید
persian,kill,کشتن
persian,kind,نوع
persian,king,پادشاه
persian,knew,می دانستم که
persian,know,می دانم
persian,lady,خانم
persian,lake,دریاچه
persian,land,زمین
persian,language,زبان
