language,english,vocabulary
galician,a,unha
galician,able,capaz
galician,about,sobre
galician,above,arriba
galician,act,acto
galician,add,engadir
galician,afraid,medo
galician,after,despois
galician,again,novo
galician,against,contra
galician,age,idade
galician,ago,atrás
galician,agree,concordo
galician,air,aire
galician,all,todo
galician,allow,permitir
galician,also,tamén
galician,always,sempre
galician,am,son
galician,among,entre
galician,an,unha
galician,and,e
galician,anger,rabia
galician,animal,animal
galician,answer,resposta
galician,any,calquera
galician,appear,aparecer
galician,apple,mazá
galician,are,son
galician,area,área
galician,arm,brazo
galician,arrange,organizar
galician,arrive,chegar
galician,art,arte
galician,as,como
galician,ask,preguntar
galician,at,en
galician,atom,átomo
galician,baby,bebé
galician,back,de volta
galician,bad,malo
galician,ball,bola
galician,band,banda
galician,bank,base
galician,bar,bar
galician,base,base
galician,basic,básico
galician,bat,bat
galician,be,ser
galician,bear,soportar
galician,beat,vencer
galician,beauty,beleza
galician,bed,cama
galician,been,foi
galician,before,antes
galician,began,comezou
galician,begin,inicio
galician,behind,atrás
galician,believe,crer
galician,bell,campá
galician,best,mellor
galician,better,mellor
galician,between,entre
galician,big,gran
galician,bird,paxaro
galician,bit,bit
galician,black,negro
galician,block,bloque
galician,blood,sangue
galician,blow,golpe
galician,blue,azul
galician,board,consello
galician,boat,barco
galician,body,corpo
galician,bone,ósea
galician,book,libro
galician,born,nacido
galician,both,tanto
galician,bottom,bottom
galician,bought,comprou
galician,box,caixa
galician,boy,neno
galician,branch,sector
galician,bread,pan
galician,break,pausa
galician,bright,brillante
galician,bring,traer
galician,broad,ampla
galician,broke,rompe
galician,brother,irmán
galician,brought,trouxo
galician,brown,marrón
galician,build,construír
galician,burn,queimar
galician,busy,ocupado
galician,but,pero
galician,buy,mercar
galician,by,por
galician,call,chamada
galician,came,veu
galician,camp,campamento
galician,can,pode
galician,capital,capital
galician,captain,capitán
galician,car,coche
galician,card,tarxeta
galician,care,coidados
galician,carry,cargar
galician,case,caso
galician,cat,gato
galician,catch,captura
galician,caught,capturados
galician,cause,causa
galician,cell,móbil
galician,cent,cento
galician,center,centro
galician,century,século
galician,certain,seguro
galician,chair,materia
galician,chance,oportunidade
galician,change,cambio
galician,character,carácter
galician,charge,cobrar
galician,chart,gráfico
galician,check,comprobe
galician,chick,pinto
galician,chief,xefe
galician,child,neno
galician,children,nenos
galician,choose,escoller
galician,chord,acorde
galician,circle,círculo
galician,city,cidade
galician,claim,reivindicación
galician,class,clase
galician,clean,limpo
galician,clear,claro
galician,climb,subida
galician,clock,reloxo
galician,close,preto
galician,clothe,levar
galician,cloud,nube
galician,coast,costa
galician,coat,abrigo
galician,cold,frío
galician,collect,recoller
galician,colony,colonia
galician,color,cor
galician,column,columna
galician,come,vir
galician,common,común
galician,company,empresa
galician,compare,comparar
galician,complete,completo
galician,condition,condición
galician,connect,conectar
galician,consider,considerar
galician,consonant,consoante
galician,contain,conteñen
galician,continent,continente
galician,continue,seguir
galician,control,control
galician,cook,cociñeiro
galician,cool,legal
galician,copy,copia
galician,corn,millo
galician,corner,canto
galician,correct,correcto
galician,cost,custo
galician,cotton,algodón
galician,could,podería
galician,count,contar
galician,country,país
galician,course,curso
galician,cover,cuberta
galician,cow,vaca
galician,crease,vinci
galician,create,crear
galician,crop,colleita
galician,cross,atravesar
galician,crowd,multitude
galician,cry,berro
galician,current,actual
galician,cut,corte
galician,dad,pai
galician,dance,danza
galician,danger,perigo
galician,dark,escuro
galician,day,día
galician,dead,morto
galician,deal,negocio
galician,dear,caro
galician,death,morte
galician,decide,decidir
galician,decimal,decimal
galician,deep,profunda
galician,degree,grao
galician,depend,dependen
galician,describe,describir
galician,desert,deserto
galician,design,proxecto
galician,determine,determinar
galician,develop,desenvolver
galician,dictionary,dicionario
galician,did,fixo
galician,die,morrer
galician,differ,diferir
galician,difficult,difícil
galician,direct,directo
galician,discuss,discutir
galician,distant,distante
galician,divide,división
galician,division,división
galician,do,facer
galician,doctor,médico
galician,does,fai
galician,dog,can
galician,dollar,dólar
galician,done,done
galician,don’t,non
galician,door,porta
galician,double,dobre
galician,down,abaixo
galician,draw,deseñar
galician,dream,soñar
galician,dress,vestido
galician,drink,bebida
galician,drive,unidade
galician,drop,caer
galician,dry,seca
