language,english,vocabulary
arabic,a,و
arabic,able,قادرة
arabic,about,حول
arabic,above,فوق
arabic,act,فعل
arabic,add,إضافة
arabic,afraid,خائف
arabic,after,بعد
arabic,again,مرة أخرى
arabic,against,ضد
arabic,age,العمر
arabic,ago,منذ
arabic,agree,توافق
arabic,air,هواء
arabic,all,كل
arabic,allow,السماح
arabic,also,أيضا
arabic,always,دائما
arabic,am,صباحا
arabic,among,بين
arabic,an,و
arabic,and,و
arabic,anger,غضب
arabic,animal,الحيوان
arabic,answer,الجواب
arabic,any,أي
arabic,appear,تظهر
arabic,apple,تفاحة
arabic,are,هي
arabic,area,منطقة
arabic,arm,الذراع
arabic,arrange,رتب
arabic,arrive,وصول
arabic,art,فن
arabic,as,كما
arabic,ask,تطلب
arabic,at,في
arabic,atom,ذرة
arabic,baby,طفل
arabic,back,ظهر
arabic,bad,سيئة
arabic,ball,كرة
arabic,band,فرقة
arabic,bank,البنك
arabic,bar,شريط
arabic,base,قاعدة
arabic,basic,الأساسية
arabic,bat,خفاش
arabic,be,يكون
arabic,bear,تحمل
arabic,beat,فوز
arabic,beauty,الجمال
arabic,bed,قاع
arabic,been,كان
arabic,before,قبل
arabic,began,بدأ
arabic,begin,بدأ
arabic,behind,خلف
arabic,believe,اعتقد
arabic,bell,جرس
arabic,best,أفضل
arabic,better,أفضل
arabic,between,بين
arabic,big,كبير
arabic,bird,طائر
arabic,bit,لقمة
arabic,black,أسود
arabic,block,كتلة
arabic,blood,الدم
arabic,blow,ضربة
arabic,blue,الأزرق
arabic,board,مجلس الإدارة
arabic,boat,قارب
arabic,body,هيئة
arabic,bone,العظام
arabic,book,كتاب
arabic,born,الولادة
arabic,both,كلا
arabic,bottom,أسفل
arabic,bought,اشترى
arabic,box,صندوق
arabic,boy,صبي
arabic,branch,فرع
arabic,bread,الخبز
arabic,break,استراحة
arabic,bright,مشرق
arabic,bring,جلب
arabic,broad,واسع
arabic,broke,حطم
arabic,brother,شقيق
arabic,brought,جلبت
arabic,brown,أسمر
arabic,build,بناء
arabic,burn,حرق
arabic,busy,مشغول
arabic,but,لكن
arabic,buy,شراء
arabic,by,بواسطة
arabic,call,دعوة
arabic,came,جاء
arabic,camp,مخيم
arabic,can,علبة
arabic,capital,العاصمة
arabic,captain,نقيب
arabic,car,سيارة
arabic,card,بطاقة
arabic,care,الرعاية
arabic,carry,حمل
arabic,case,حالة
arabic,cat,القط
arabic,catch,مزلاج
arabic,caught,اشتعلت
arabic,cause,السبب
arabic,cell,خلية
arabic,cent,المائة
arabic,center,مركز
arabic,century,القرن
arabic,certain,معين
arabic,chair,كرسي
arabic,chance,فرصة
arabic,change,تغيير
arabic,character,حرف
arabic,charge,تهمة
arabic,chart,جدول
arabic,check,تحقق
arabic,chick,كتكوت
arabic,chief,رئيس
arabic,child,طفل
arabic,children,الأطفال
arabic,choose,اختيار
arabic,chord,وتر
arabic,circle,دائرة
arabic,city,المدينة
arabic,claim,مطالبة
arabic,class,الفئة
arabic,clean,نظيف
arabic,clear,واضح
arabic,climb,تسلق
arabic,clock,على مدار الساعة
arabic,close,قريب
arabic,clothe,كسا
arabic,cloud,سحابة
arabic,coast,الساحل
arabic,coat,معطف
arabic,cold,بارد
arabic,collect,جمع
arabic,colony,مستعمرة
arabic,color,لون
arabic,column,عمود
arabic,come,جاء
arabic,common,مشترك
arabic,company,شركة
arabic,compare,مقارنة
arabic,complete,كاملة
arabic,condition,حالة
arabic,connect,اتصال
arabic,consider,النظر
arabic,consonant,متوافق
arabic,contain,تحتوي على
arabic,continent,القارة
arabic,continue,تواصل
arabic,control,السيطرة
arabic,cook,طبخ
arabic,cool,بارد
arabic,copy,نسخة
arabic,corn,الذرة
arabic,corner,ركن
arabic,correct,صحيح
arabic,cost,التكلفة
arabic,cotton,قطن
arabic,could,يمكن
arabic,count,عد
arabic,country,بلد
arabic,course,بالطبع
arabic,cover,غطاء
arabic,cow,بقرة
arabic,crease,تجعد
arabic,create,خلق
arabic,crop,محصول
arabic,cross,عبور
arabic,crowd,الحشد
arabic,cry,صرخة
arabic,current,التيار
arabic,cut,قطع
arabic,dad,أب
arabic,dance,رقص
arabic,danger,خطر
arabic,dark,مظلم
arabic,day,يوم
arabic,dead,ميت
arabic,deal,صفقة
arabic,dear,عزيزتي
arabic,death,الموت
arabic,decide,تقرر
arabic,decimal,العشري
arabic,deep,عميق
arabic,degree,درجة
arabic,depend,تعتمد
arabic,describe,وصف
arabic,desert,صحراء
arabic,design,تصميم
arabic,determine,حدد
arabic,develop,تطوير
arabic,dictionary,قاموس
arabic,did,لم
arabic,die,مات
arabic,differ,اختلف
arabic,difficult,الصعب
arabic,direct,مباشر
arabic,discuss,بحث
arabic,distant,بعيد
arabic,divide,الفجوة
arabic,division,تقسيم
arabic,do,القيام
arabic,doctor,الطبيب
arabic,does,لا
arabic,dog,الكلب
arabic,dollar,الدولار
arabic,done,منجز
arabic,don’t,لا
arabic,door,باب
arabic,double,ضعف
arabic,down,إلى
arabic,draw,رسم
arabic,dream,حلم
arabic,dress,فستان
arabic,drink,شراب
arabic,drive,محرك
arabic,drop,إسقاط
arabic,dry,جاف
arabic,duck,بط
arabic,during,خلال
arabic,each,كل
arabic,ear,إذن
arabic,early,في وقت مبكر
arabic,earth,أرض
arabic,ease,سهولة
arabic,east,الشرق
arabic,eat,أكل
arabic,edge,حافة
arabic,effect,تأثير
arabic,egg,البيض
arabic,eight,ثمانية
arabic,either,كل
arabic,electric,كهربائي
arabic,element,عنصر
arabic,else,آخر
arabic,end,نهاية
arabic,enemy,العدو
arabic,energy,الطاقة
arabic,engine,محرك
arabic,enough,بما فيه الكفاية
arabic,enter,دخول
arabic,equal,متساو
arabic,equate,مساواة
arabic,especially,خاصة
arabic,even,حتى
arabic,evening,مساء
arabic,event,حدث
arabic,ever,أبدا
arabic,every,كل
arabic,exact,بالضبط
arabic,example,مثال
arabic,except,إلا
arabic,excite,أثار
arabic,exercise,ممارسة
arabic,expect,توقع
arabic,experience,التجربة
arabic,experiment,تجربة
arabic,eye,العين
arabic,face,وجه
arabic,fact,حقيقة
arabic,fair,عادل
arabic,fall,سقط
arabic,family,عائلة
arabic,famous,الشهيرة
arabic,far,الآن
arabic,farm,مزرعة
arabic,fast,بسرعة
arabic,fat,دهن
arabic,father,الأب
arabic,favor,صالح
arabic,fear,خوف
arabic,feed,علف
arabic,feel,إحساس
arabic,feet,قدم
arabic,fell,سقط
arabic,felt,شعر
arabic,few,قليل
arabic,field,الحقل
arabic,fig,تين
arabic,fight,المعركة
arabic,figure,الرقم
arabic,fill,شغل
arabic,final,نهائي
arabic,find,اكتشاف
arabic,fine,غرامة
arabic,finger,إصبع
arabic,finish,نهاية
arabic,fire,النار
arabic,first,الأول
arabic,fish,سمك
arabic,fit,تناسب
arabic,five,خمسة
arabic,flat,شقة
arabic,floor,الطابق
arabic,flow,تدفق
arabic,flower,زهرة
arabic,fly,يطير
arabic,follow,تابع
arabic,food,غذاء
arabic,foot,القدم
arabic,for,إلى
arabic,force,قوة
arabic,forest,الغابات
arabic,form,شكل
arabic,forward,إلى الأمام
arabic,found,أسس
arabic,four,أربعة
arabic,fraction,جزء
arabic,free,حر
arabic,fresh,جديدة
arabic,friend,صديق
arabic,from,من
arabic,front,الجبهة
arabic,fruit,الفاكهة
arabic,full,كامل
arabic,fun,مرح
arabic,game,لعبة
arabic,garden,حديقة
arabic,gas,الغاز
arabic,gather,جمع
arabic,gave,أعطى
arabic,general,عام
arabic,gentle,لطيف
arabic,get,الحصول على
arabic,girl,فتاة
arabic,give,منح
arabic,glad,سعيد
arabic,glass,زجاج
arabic,go,تذهب
arabic,gold,الذهب
arabic,gone,ذهب
arabic,good,جيد
arabic,got,حصلت
arabic,govern,الحكم
arabic,grand,الكبرى
arabic,grass,العشب
arabic,gray,رمادي
arabic,great,عظيم
arabic,green,الأخضر
arabic,grew,نما
arabic,ground,أرض
arabic,group,مجموعة
arabic,grow,تنمو
arabic,guess,تخمين
arabic,guide,توجيه
arabic,gun,بندقية
arabic,had,كان
arabic,hair,الشعر
arabic,half,نصف
arabic,hand,يد
arabic,happen,يحدث
arabic,happy,سعيدة
arabic,hard,شاق
arabic,has,لديه
arabic,hat,قبعة
arabic,have,ديك
arabic,he,هو
arabic,head,رئيس
arabic,hear,سمع
arabic,heard,سمعت
arabic,heart,قلب
arabic,heat,حرارة
arabic,heavy,ثقيلة
arabic,held,عقدت
arabic,help,مساعدة
arabic,her,لها
arabic,here,هنا
arabic,high,ارتفاع
arabic,hill,التل
arabic,him,له
arabic,his,له
arabic,history,التاريخ
arabic,hit,ضرب
arabic,hold,عقد
arabic,hole,حفرة
arabic,home,المنزل
arabic,hope,نأمل
arabic,horse,الحصان
arabic,hot,حار
arabic,hour,ساعة
arabic,house,منزل
arabic,how,كيف
arabic,huge,ضخم
arabic,human,بشري
arabic,hundred,مائة
arabic,hunt,مطاردة
arabic,hurry,عجل
arabic,i,أنا
arabic,ice,الجليد
arabic,idea,فكرة
arabic,if,إذا
arabic,imagine,تخيل
arabic,in,في
arabic,inch,بوصة
arabic,include,تضمن
arabic,indicate,تشير
arabic,industry,صناعة
arabic,insect,الحشرة
arabic,instant,لحظة
arabic,instrument,أداة
arabic,interest,مصلحة
arabic,invent,اختراع
arabic,iron,حديد
arabic,is,هو
arabic,island,الجزيرة
arabic,it,هو
arabic,job,العمل
arabic,join,انضمام
arabic,joy,الفرح
arabic,jump,القفزة
arabic,just,فقط
arabic,keep,احتفظ
arabic,kept,أبقى
arabic,key,مفتاح
arabic,kill,قتل
arabic,kind,نوع
arabic,king,ملك
arabic,knew,عرف
