language,english,vocabulary
lao,a,ເປັນ
lao,able,ສາມາດ
lao,about,ກ່ຽວກັບ
lao,above,ຂ້າງເທິງ
lao,act,ກົດຫມາຍວ່າດ້ວຍ
lao,add,ເພີ່ມ
lao,afraid,ຄວາມຢ້ານກົວ
lao,after,ຫຼັງຈາກ
lao,again,ອີກເທື່ອຫນຶ່ງ
lao,against,ຕໍ່
lao,age,ອາຍຸສູງສຸດ
lao,ago,ກ່ອນຫນ້ານີ້
lao,agree,ຕົກລົງເຫັນດີ
lao,air,ອາກາດ
lao,all,ທັງຫມົດ
lao,allow,ອະນຸຍາດໃຫ້
lao,also,ຍັງ
lao,always,ສະເຫມີໄປ
lao,am,ເຈົ້າ
lao,among,ໃນບັນດາ
lao,an,ເປັນ
lao,and,ແລະ
lao,anger,ຄວາມໃຈຮ້າຍ
lao,animal,ສັດ
lao,answer,ຄໍາຕອບ
lao,any,ໃດ
lao,appear,ປະກົດວ່າ
lao,apple,ຈາກຫນາກແອບເປີ
lao,are,ແມ່ນ
lao,area,ເຂດພື້ນທີ່
lao,arm,ແຂນ
lao,arrange,ຈັດ
lao,arrive,ມາຮອດ
lao,art,ສິນລະປະ
lao,as,ເປັນ
lao,ask,ຖາມ
lao,at,ຢູ່
lao,atom,ປະລໍາມະນູ
lao,baby,ເດັກນ້ອຍ
lao,back,ກັບຄືນໄປບ່ອນ
lao,bad,ບໍ່ດີ
lao,ball,ບານ
lao,band,ແຖບ
lao,bank,ທະນາຄານ
lao,bar,ພາທະນາຍຄວາມ
lao,base,ຖານ
lao,basic,ຂັ້ນພື້ນຖານ
lao,bat,ເຈຍ
lao,be,ຈະ
lao,bear,ຮັບຜິດຊອບ
lao,beat,ຫຼິ້ນໃຫ້ເກີນແມ່ນ
lao,beauty,ຄວາມງາມ
lao,bed,ນອນ
lao,been,ໄດ້
lao,before,ກ່ອນທີ່ຈະ
lao,began,ເລີ່ມຕົ້ນ
lao,begin,ເລີ່ມຕົ້ນ
lao,behind,ຫລັງ
lao,believe,ເຊື່ອ
lao,bell,ລະຄັງ
lao,best,ທີ່ດີທີ່ສຸດ
lao,better,ດີກວ່າ
lao,between,ລະຫວ່າງ
lao,big,ໃຫຍ່
lao,bird,ນົກຊະນິດ
lao,bit,ນ້ອຍ
lao,black,ສີດໍາ
lao,block,ຕັນ
lao,blood,ເລືອດ
lao,blow,ສ້າງຄວາມເສຍຫາຍ
lao,blue,ສີຟ້າ
lao,board,ຄະນະ
lao,boat,ເຮືອ
lao,body,ຮ່າງກາຍ
lao,bone,ກະດູກ
lao,book,ປື້ມບັນ
lao,born,ເກີດ
lao,both,ທັງສອງ
lao,bottom,ທາງລຸ່ມ
lao,bought,ຊື້
lao,box,ຫມາຍໃສ່ໃນປ່ອງ
lao,boy,ເດັກຜູ້ຊາຍ
lao,branch,ສາຂາ
lao,bread,ເຂົ້າຈີ່
lao,break,ການພັກຜ່ອນ
lao,bright,ສົດໃສ
lao,bring,ເອົາມາໃຫ້
lao,broad,ຢ່າງກວ້າງຂວາງ
lao,broke,ຫັກ
lao,brother,ອ້າຍ
lao,brought,ໄດ້ນໍາເອົາ
lao,brown,ສີນ້ໍາ
lao,build,ການກໍ່ສ້າງ
lao,burn,ໄຫມ້
lao,busy,ທຸລະກິດ
lao,but,ແຕ່ວ່າ
lao,buy,ຊື້
lao,by,ໂດຍ
lao,call,ໂທ
lao,came,ມາ
lao,camp,ຄ້າຍ
lao,can,ສາມາດເຮັດໄດ້
lao,capital,ນະຄອນຫຼວງ
lao,captain,ນາຍເຮືອ
lao,car,ລົດ
lao,card,ບັດ
lao,care,ການດູແລ
lao,carry,ປະຕິບັດການ
lao,case,ກໍລະນີ
lao,cat,ແລ້ງ
lao,catch,ຈັບ
lao,caught,ຈັບໄດ້
lao,cause,ສາເຫດ
lao,cell,ຫ້ອງ
lao,cent,ເປີເຊັນ
lao,center,ສູນກາງ
lao,century,ສະຕະວັດທີ
lao,certain,ສະເພາະໃດຫນຶ່ງ
lao,chair,ປະທານ
lao,chance,ໂອກາດ
lao,change,ການປ່ຽນແປງ
lao,character,ລັກສະນະ
lao,charge,ໄລ່ເອົາ
lao,chart,ຕາຕະລາງ
lao,check,ໃຫ້ກວດເບິ່ງ
