language,english,vocabulary
norwegian,a,en
norwegian,able,stand
norwegian,about,om
norwegian,above,ovenfor
norwegian,act,handle
norwegian,add,legge
norwegian,afraid,redd
norwegian,after,etter
norwegian,again,igjen
norwegian,against,mot
norwegian,age,alder
norwegian,ago,siden
norwegian,agree,enig
norwegian,air,luft
norwegian,all,alle
norwegian,allow,tillate
norwegian,also,også
norwegian,always,alltid
norwegian,am,am
norwegian,among,blant
norwegian,an,en
norwegian,and,og
norwegian,anger,sinne
norwegian,animal,dyr
norwegian,answer,svar
norwegian,any,noen
norwegian,appear,vises
norwegian,apple,eple
norwegian,are,er
norwegian,area,område
norwegian,arm,arm
norwegian,arrange,arrangere
norwegian,arrive,ankomme
norwegian,art,kunst
norwegian,as,som
norwegian,ask,spør
norwegian,at,på
norwegian,atom,atomet
norwegian,baby,babyen
norwegian,back,tilbake
norwegian,bad,dårlig
norwegian,ball,ballen
norwegian,band,bandet
norwegian,bank,bank
norwegian,bar,bar
norwegian,base,basen
norwegian,basic,grunnleggende
norwegian,bat,bat
norwegian,be,være
norwegian,bear,bære
norwegian,beat,slå
norwegian,beauty,skjønnhet
norwegian,bed,seng
norwegian,been,vært
norwegian,before,før
norwegian,began,begynte
norwegian,begin,begynne
norwegian,behind,bak
norwegian,believe,tror
norwegian,bell,bell
norwegian,best,beste
norwegian,better,bedre
norwegian,between,mellom
norwegian,big,big
norwegian,bird,fugl
norwegian,bit,bit
norwegian,black,svart
norwegian,block,blokk
norwegian,blood,blod
norwegian,blow,slag
norwegian,blue,blå
norwegian,board,brett
norwegian,boat,båt
norwegian,body,kroppen
norwegian,bone,bein
norwegian,book,bok
norwegian,born,født
norwegian,both,både
norwegian,bottom,bunnen
norwegian,bought,kjøpt
norwegian,box,boks
norwegian,boy,gutt
norwegian,branch,gren
norwegian,bread,brød
norwegian,break,pause
norwegian,bright,lyse
norwegian,bring,bringe
norwegian,broad,bred
norwegian,broke,brøt
norwegian,brother,bror
norwegian,brought,brakte
norwegian,brown,brun
norwegian,build,bygge
norwegian,burn,brenne
norwegian,busy,opptatt
norwegian,but,men
norwegian,buy,kjøpe
norwegian,by,etter
norwegian,call,samtale
norwegian,came,kom
norwegian,camp,leir
norwegian,can,kan
norwegian,capital,kapital
norwegian,captain,kaptein
norwegian,car,bil
norwegian,card,kortet
norwegian,care,omsorg
norwegian,carry,bære
norwegian,case,case
norwegian,cat,katt
norwegian,catch,fangst
norwegian,caught,fanget
norwegian,cause,årsaken
norwegian,cell,celle
norwegian,cent,prosent
norwegian,center,senter
norwegian,century,århundre
norwegian,certain,viss
norwegian,chair,stol
norwegian,chance,sjanse
norwegian,change,endring
norwegian,character,karakter
norwegian,charge,belaste
norwegian,chart,diagram
norwegian,check,sjekk
norwegian,chick,chick
norwegian,chief,sjef
norwegian,child,barn
norwegian,children,barn
norwegian,choose,velge
norwegian,chord,akkord
norwegian,circle,sirkel
norwegian,city,by
norwegian,claim,krav
norwegian,class,klasse
norwegian,clean,ren
norwegian,clear,klar
norwegian,climb,klatre
norwegian,clock,klokke
norwegian,close,nær
norwegian,clothe,ikle
norwegian,cloud,skyen
norwegian,coast,kysten
norwegian,coat,frakk
norwegian,cold,kaldt
norwegian,collect,samle
norwegian,colony,koloni
norwegian,color,farge
norwegian,column,kolonne
norwegian,come,kommer
norwegian,common,felles
norwegian,company,selskap
norwegian,compare,sammenligne
norwegian,complete,komplett
norwegian,condition,tilstand
norwegian,connect,koble
norwegian,consider,vurdere
norwegian,consonant,konsonant
norwegian,contain,inneholde
norwegian,continent,kontinentet
norwegian,continue,fortsette
norwegian,control,kontroll
norwegian,cook,kokk
norwegian,cool,kult
norwegian,copy,kopi
norwegian,corn,mais
norwegian,corner,hjørne
norwegian,correct,riktig
norwegian,cost,kostnader
norwegian,cotton,bomull
norwegian,could,kunne
norwegian,count,teller
norwegian,country,landet
norwegian,course,kurs
norwegian,cover,dekselet
norwegian,cow,ku
norwegian,crease,krøll
norwegian,create,skape
norwegian,crop,avling
norwegian,cross,krysse
norwegian,crowd,folkemengde
norwegian,cry,gråte
norwegian,current,nåværende
norwegian,cut,kutt
norwegian,dad,pappa
norwegian,dance,dans
norwegian,danger,fare
norwegian,dark,mørk
norwegian,day,dag
norwegian,dead,døde
norwegian,deal,avtale
norwegian,dear,kjære
norwegian,death,død
norwegian,decide,bestemme
norwegian,decimal,desimal
norwegian,deep,dyp
norwegian,degree,grad
norwegian,depend,avhenge
norwegian,describe,beskrive
norwegian,desert,ørkenen
norwegian,design,utforming
norwegian,determine,bestemme
norwegian,develop,utvikle
norwegian,dictionary,ordbok
norwegian,did,gjorde
norwegian,die,dø
norwegian,differ,avvike
norwegian,difficult,vanskelig
norwegian,direct,direkte
norwegian,discuss,diskutere
norwegian,distant,fjernt
norwegian,divide,dividere
norwegian,division,divisjon
norwegian,do,gjøre
norwegian,doctor,lege
norwegian,does,gjør
norwegian,dog,hund
norwegian,dollar,dollar
norwegian,done,gjort
norwegian,don’t,ikke gjør
norwegian,door,dør
norwegian,double,dobbel
norwegian,down,ned
norwegian,draw,tegne
norwegian,dream,drømme
norwegian,dress,kjole
norwegian,drink,drikke
norwegian,drive,kjøring
norwegian,drop,slipp
norwegian,dry,tørk
norwegian,duck,and
norwegian,during,under
norwegian,each,hver
norwegian,ear,øret
norwegian,early,tidlig
norwegian,earth,jorden
norwegian,ease,lette
norwegian,east,øst
norwegian,eat,spise
norwegian,edge,kanten
norwegian,effect,effekt
norwegian,egg,egg
norwegian,eight,åtte
norwegian,either,enten
norwegian,electric,elektrisk
norwegian,element,element
norwegian,else,annet
norwegian,end,ende
norwegian,enemy,fiende
norwegian,energy,energi
norwegian,engine,motor
norwegian,enough,nok
norwegian,enter,inn
norwegian,equal,lik
norwegian,equate,likestille
norwegian,especially,spesielt
norwegian,even,selv
norwegian,evening,kveld
norwegian,event,hendelse
norwegian,ever,noensinne
norwegian,every,alle
norwegian,exact,eksakte
norwegian,example,eksempel
norwegian,except,bortsett fra
norwegian,excite,opphisse
norwegian,exercise,trening
norwegian,expect,forvente
norwegian,experience,erfaring
norwegian,experiment,eksperiment
norwegian,eye,øye
norwegian,face,ansikt
norwegian,fact,faktisk
norwegian,fair,rettferdig
norwegian,fall,høst
norwegian,family,familie
norwegian,famous,berømt
norwegian,far,langt
norwegian,farm,gård
norwegian,fast,rask
norwegian,fat,fett
norwegian,father,far
norwegian,favor,favorisere
norwegian,fear,frykt
norwegian,feed,fôr
norwegian,feel,føler
norwegian,feet,føtter
norwegian,fell,falt
norwegian,felt,følte
norwegian,few,noen
norwegian,field,felt
norwegian,fig,fig
norwegian,fight,kampen
norwegian,figure,figur
norwegian,fill,fylle
norwegian,final,endelig
norwegian,find,finne
norwegian,fine,bot
norwegian,finger,fingeren
norwegian,finish,ferdig
norwegian,fire,brann
norwegian,first,første
norwegian,fish,fisk
norwegian,fit,passe
norwegian,five,fem
norwegian,flat,flat
norwegian,floor,etasje
norwegian,flow,flyte
norwegian,flower,blomst
norwegian,fly,fly
norwegian,follow,følg
norwegian,food,mat
norwegian,foot,foten
norwegian,for,for
norwegian,force,kraft
norwegian,forest,skog
norwegian,form,skjema
norwegian,forward,frem
norwegian,found,funnet
norwegian,four,fire
norwegian,fraction,brøkdel
norwegian,free,gratis
