language,english,vocabulary
igbo,a,a
igbo,able,ike
igbo,about,banyere
igbo,above,n’elu
igbo,act,eme
igbo,add,tinye
igbo,afraid,egwu
igbo,after,mgbe
igbo,again,ọzọ
igbo,against,megide
igbo,age,afọ
igbo,ago,gara aga
igbo,agree,ekweta
igbo,air,ikuku
igbo,all,niile
igbo,allow,ekwe
igbo,also,na-
igbo,always,mgbe nile
igbo,am,m
igbo,among,n’etiti
igbo,an,ihe
igbo,and,na
igbo,anger,iwe
igbo,animal,anụmanụ
igbo,answer,azịza
igbo,any,ọ bụla
igbo,appear,iyi
igbo,apple,apụl
igbo,are,ma ọ bụrụ na
igbo,area,mpaghara
igbo,arm,ogwe aka
igbo,arrange,ndokwa
igbo,arrive,na-abata
igbo,art,nkà
igbo,as,dị ka
igbo,ask,ịjụ
igbo,at,na
igbo,atom,atọm
igbo,baby,nwa
igbo,back,azụ
igbo,bad,ọjọọ
igbo,ball,bọl
igbo,band,gbalaga
igbo,bank,akụ
igbo,bar,mmanya
igbo,base,isi
igbo,basic,isi
igbo,bat,ụsụ
igbo,be,ịbụ
igbo,bear,agba
igbo,beat,uda
igbo,beauty,ịma mma
igbo,bed,bed
igbo,been,kemgbe
igbo,before,n’ihu
igbo,began,malitere
igbo,begin,na-amalite
igbo,behind,n’azụ
igbo,believe,kwere
igbo,bell,mgbịrịgba
igbo,best,mma
igbo,better,mma
igbo,between,n’etiti
igbo,big,nnukwu
igbo,bird,nnụnụ
igbo,bit,bit
igbo,black,ojii
igbo,block,gbochie
igbo,blood,ọbara
igbo,blow,igbu
igbo,blue,acha anụnụ anụnụ
igbo,board,osisi
igbo,boat,ụgbọ mmiri
igbo,body,ozu
igbo,bone,ọkpụkpụ
igbo,book,akwụkwọ
igbo,born,keomumu
igbo,both,ma
igbo,bottom,ike
igbo,bought,zụta
igbo,box,igbe
igbo,boy,nwa
igbo,branch,alaka ụlọ ọrụ
igbo,bread,nri
igbo,break,nkwụsịtụ
igbo,bright,"enwu enwu,"
igbo,bring,eme
igbo,broad,sara mbara
igbo,broke,mebiri
igbo,brother,nwanne
igbo,brought,ada
igbo,brown,na agba aja aja
igbo,build,ewu
igbo,burn,ọkụ
igbo,busy,arụsi ọrụ ike
igbo,but,ma
igbo,buy,ịzụta
igbo,by,site
igbo,call,oku
igbo,came,wee
igbo,camp,mara ụlọikwuu
igbo,can,ike
igbo,capital,isi obodo
igbo,captain,onyeisi
igbo,car,ụgbọ ala
igbo,card,kaadị
igbo,care,nlekọta
igbo,carry,ebu
igbo,case,ikpe
igbo,cat,pusi
igbo,catch,gbutere
igbo,caught,jidere
igbo,cause,kpatara
igbo,cell,cell
igbo,cent,pasent
igbo,center,ebe
igbo,century,na narị afọ
igbo,certain,ụfọdụ
igbo,chair,oche
igbo,chance,ohere
igbo,change,mgbanwe
igbo,character,agwa
igbo,charge,ana
igbo,chart,chart
igbo,check,ịlele
igbo,chick,chick
igbo,chief,isi
igbo,child,nwa
