language,english,vocabulary
portuguese,a,uma
portuguese,able,capaz
portuguese,about,sobre
portuguese,above,acima
portuguese,act,ato
portuguese,add,adicionar
portuguese,afraid,medo
portuguese,after,depois
portuguese,again,novamente
portuguese,against,contra
portuguese,age,idade
portuguese,ago,atrás
portuguese,agree,concordar
portuguese,air,ar
portuguese,all,tudo
portuguese,allow,permitir
portuguese,also,também
portuguese,always,sempre
portuguese,am,am
portuguese,among,entre
portuguese,an,uma
portuguese,and,e
portuguese,anger,raiva
portuguese,animal,animais
portuguese,answer,resposta
portuguese,any,qualquer
portuguese,appear,aparecer
portuguese,apple,maçã
portuguese,are,são
portuguese,area,área
portuguese,arm,braço
portuguese,arrange,organizar
portuguese,arrive,chegar
portuguese,art,arte
portuguese,as,como
portuguese,ask,perguntar
portuguese,at,em
portuguese,atom,átomo
portuguese,baby,bebê
portuguese,back,de volta
portuguese,bad,ruim
portuguese,ball,bola
portuguese,band,banda
portuguese,bank,banco
portuguese,bar,bar
portuguese,base,base
portuguese,basic,básico
portuguese,bat,bat
portuguese,be,ser
portuguese,bear,suportar
portuguese,beat,bater
portuguese,beauty,beleza
portuguese,bed,cama
portuguese,been,sido
portuguese,before,antes
portuguese,began,começou
portuguese,begin,início
portuguese,behind,atrás
portuguese,believe,acreditar
portuguese,bell,sino
portuguese,best,melhor
portuguese,better,melhor
portuguese,between,entre
portuguese,big,grande
portuguese,bird,pássaro
portuguese,bit,bit
portuguese,black,preto
portuguese,block,bloco
portuguese,blood,sangue
portuguese,blow,golpe
portuguese,blue,azul
portuguese,board,conselho
portuguese,boat,barco
portuguese,body,corpo
portuguese,bone,osso
portuguese,book,livro
portuguese,born,nascido
portuguese,both,tanto
portuguese,bottom,inferior
portuguese,bought,comprou
portuguese,box,caixa
portuguese,boy,menino
portuguese,branch,ramo
portuguese,bread,pão
portuguese,break,pausa
portuguese,bright,brilhante
portuguese,bring,trazer
portuguese,broad,amplo
portuguese,broke,quebrado
portuguese,brother,irmão
portuguese,brought,trouxe
portuguese,brown,marrom
portuguese,build,construir
portuguese,burn,queimar
portuguese,busy,ocupado
portuguese,but,mas
portuguese,buy,comprar
portuguese,by,por
portuguese,call,chamada
portuguese,came,veio
portuguese,camp,acampamento
portuguese,can,lata
portuguese,capital,capital
portuguese,captain,capitão
portuguese,car,carro
portuguese,card,cartão
portuguese,care,cuidados
portuguese,carry,carregam
portuguese,case,caso
portuguese,cat,cat
portuguese,catch,captura
portuguese,caught,capturados
portuguese,cause,causa
portuguese,cell,celular
portuguese,cent,cento
portuguese,center,centro
portuguese,century,século
portuguese,certain,certo
portuguese,chair,cadeira
portuguese,chance,oportunidade
portuguese,change,mudança
portuguese,character,caráter
portuguese,charge,cobrar
portuguese,chart,gráfico
portuguese,check,verifique
portuguese,chick,pinto
portuguese,chief,chefe
portuguese,child,criança
portuguese,children,crianças
portuguese,choose,escolher
portuguese,chord,acorde
portuguese,circle,círculo
portuguese,city,cidade
portuguese,claim,reivindicação
portuguese,class,classe
portuguese,clean,limpo
portuguese,clear,claro
portuguese,climb,subida
portuguese,clock,relógio
portuguese,close,perto
portuguese,clothe,vestir
portuguese,cloud,nuvem
portuguese,coast,costa
portuguese,coat,casaco
portuguese,cold,frio
portuguese,collect,recolher
portuguese,colony,colônia
portuguese,color,cor
portuguese,column,coluna
portuguese,come,vir
portuguese,common,comum
portuguese,company,companhia
portuguese,compare,comparar
portuguese,complete,completo
portuguese,condition,condição
portuguese,connect,conectar
portuguese,consider,considerar
portuguese,consonant,consoante
portuguese,contain,contêm
portuguese,continent,continente
portuguese,continue,continuar
portuguese,control,controle
portuguese,cook,cozinheiro
portuguese,cool,legal
portuguese,copy,cópia
portuguese,corn,milho
portuguese,corner,canto
portuguese,correct,correto
portuguese,cost,custo
portuguese,cotton,algodão
portuguese,could,poderia
portuguese,count,contar
portuguese,country,país
portuguese,course,curso
portuguese,cover,cobertura
portuguese,cow,vaca
portuguese,crease,vinco
portuguese,create,criar
portuguese,crop,colheita
portuguese,cross,atravessar
portuguese,crowd,multidão
portuguese,cry,grito
portuguese,current,atual
portuguese,cut,corte
portuguese,dad,pai
portuguese,dance,dança
portuguese,danger,perigo
portuguese,dark,escuro
portuguese,day,dia
portuguese,dead,morto
portuguese,deal,negócio
portuguese,dear,caro
portuguese,death,morte
portuguese,decide,decidir
portuguese,decimal,decimal
portuguese,deep,profunda
portuguese,degree,grau
portuguese,depend,dependem
portuguese,describe,descrever
portuguese,desert,deserto
portuguese,design,projeto
portuguese,determine,determinar
portuguese,develop,desenvolver
portuguese,dictionary,dicionário
portuguese,did,fez
portuguese,die,morrer
portuguese,differ,diferir
portuguese,difficult,difícil
portuguese,direct,direto
portuguese,discuss,discutir
portuguese,distant,distante
portuguese,divide,dividir
portuguese,division,divisão
portuguese,do,fazer
portuguese,doctor,médico
portuguese,does,faz
portuguese,dog,cão
portuguese,dollar,dólar
portuguese,done,done
portuguese,don’t,não
portuguese,door,porta
portuguese,double,duplo
portuguese,down,para baixo
portuguese,draw,desenhar
portuguese,dream,sonhar
portuguese,dress,vestido
portuguese,drink,bebida
portuguese,drive,unidade
portuguese,drop,cair
portuguese,dry,seca
portuguese,duck,pato
portuguese,during,durante
portuguese,each,cada
portuguese,ear,ouvido
portuguese,early,cedo
portuguese,earth,terra
portuguese,ease,facilidade
portuguese,east,leste
portuguese,eat,comer
portuguese,edge,borda
portuguese,effect,efeito
portuguese,egg,ovo
portuguese,eight,oito
portuguese,either,ou
portuguese,electric,elétrica
portuguese,element,elemento
portuguese,else,mais
portuguese,end,fim
portuguese,enemy,inimigo
portuguese,energy,energia
portuguese,engine,motor
portuguese,enough,suficiente
portuguese,enter,introduzir
portuguese,equal,igual
portuguese,equate,equiparar
portuguese,especially,especialmente
portuguese,even,mesmo
portuguese,evening,noite
