id,name,country
arsenal,Arsenal,England
aston-villa,Aston Villa,England
bournemouth,AFC Bournemouth,England
brentford,Brentford,England
brighton,Brighton & Hove Albion,England
burnley,Burnley,England
chelsea,Chelsea,England
crystal-palace,Crystal Palace,England
everton,Everton,England
fulham,Fulham,England
leeds,Leeds United,England
leicester,Leicester City,England
liverpool,Liverpool,England
luton,Luton Town,England
manchester-city,Manchester City,England
manchester-united,Manchester United,England
newcastle,Newcastle United,England
nottingham-forest,Nottingham Forest,England
sheffield-united,Sheffield United,England
southampton,Southampton,England
tottenham,Tottenham Hotspur,England
west-ham,West Ham United,England
wolves,Wolverhampton Wanderers,England
blackburn,Blackburn Rovers,England
bolton,Bolton Wanderers,England
coventry,Coventry City,England
derby,Derby County,England
ipswich,Ipswich Town,England
middlesbrough,Middlesbrough,England
norwich,Norwich City,England
portsmouth,Portsmouth,England
qpr,Queens Park Rangers,England
reading,Reading,England
stoke,Stoke City,England
sunderland,Sunderland,England
watford,Watford,England
west-brom,West Bromwich Albion,England
wigan,Wigan Athletic,England
birmingham,Birmingham City,England
charlton,Charlton Athletic,England
hull,Hull City,England
preston,Preston North End,England
sheffield-wednesday,Sheffield Wednesday,England
millwall,Millwall,England
blackpool,Blackpool,England
huddersfield,Huddersfield Town,England
barnsley,Barnsley,England
plymouth,Plymouth Argyle,England
peterborough,Peterborough United,England
rotherham,Rotherham United,England
salford,Salford City,England
notts-county,Notts County,England
wimbledon,AFC Wimbledon,England
cardiff,Cardiff City,Wales
swansea,Swansea City,Wales
wrexham,Wrexham,Wales
real-madrid,Real Madrid,Spain
barcelona,FC Barcelona,Spain
atletico-madrid,Atlético Madrid,Spain
athletic-bilbao,Athletic Bilbao,Spain
betis,Real Betis,Spain
celta-vigo,Celta Vigo,Spain
deportivo,Deportivo La Coruña,Spain
espanyol,Espanyol,Spain
getafe,Getafe,Spain
girona,Girona,Spain
granada,Granada,Spain
levante,Levante,Spain
mallorca,RCD Mallorca,Spain
osasuna,Osasuna,Spain
rayo-vallecano,Rayo Vallecano,Spain
real-sociedad,Real Sociedad,Spain
sevilla,Sevilla,Spain
sporting-gijon,Sporting Gijón,Spain
valencia,Valencia,Spain
valladolid,Real Valladolid,Spain
villarreal,Villarreal,Spain
alaves,Deportivo Alavés,Spain
leganes,Leganés,Spain
huesca,SD Huesca,Spain
cadiz,Cádiz,Spain
elche,Elche,Spain
las-palmas,Las Palmas,Spain
racing-santander,Racing Santander,Spain
zaragoza,Real Zaragoza,Spain
juventus,Juventus,Italy
inter-milan,Inter Milan,Italy
ac-milan,AC Milan,Italy
roma,Roma,Italy
lazio,Lazio,Italy
napoli,Napoli,Italy
atalanta,Atalanta,Italy
fiorentina,Fiorentina,Italy
bologna,Bologna,Italy
torino,Torino,Italy
genoa,Genoa,Italy
udinese,Udinese,Italy
sampdoria,Sampdoria,Italy
parma,Parma,Italy
cagliari,Cagliari,Italy
hellas-verona,Hellas Verona,Italy
sassuolo,Sassuolo,Italy
empoli,Empoli,Italy
lecce,Lecce,Italy
salernitana,Salernitana,Italy
monza,Monza,Italy
cremonese,Cremonese,Italy
spezia,Spezia,Italy
palermo,Palermo,Italy
pescara,Pescara,Italy
chievo,Chievo,Italy
brescia,Brescia,Italy
perugia,Perugia,Italy
venezia,Venezia,Italy
frosinone,Frosinone,Italy
como,Como,Italy
pisa,Pisa,Italy
bari,Bari,Italy
bayern-munich,Bayern Munich,Germany
borussia-dortmund,Borussia Dortmund,Germany
rb-leipzig,RB Leipzig,Germany
bayer-leverkusen,Bayer Leverkusen,Germany
eintracht-frankfurt,Eintracht Frankfurt,Germany
borussia-mg,Borussia Mönchengladbach,Germany
wolfsburg,VfL Wolfsburg,Germany
hoffenheim,TSG Hoffenheim,Germany
freiburg,SC Freiburg,Germany
stuttgart,VfB Stuttgart,Germany
union-berlin,1. FC Union Berlin,Germany
koln,1. FC Köln,Germany
werder-bremen,Werder Bremen,Germany
augsburg,FC Augsburg,Germany
mainz,Mainz 05,Germany
schalke,Schalke 04,Germany
hertha-berlin,Hertha BSC,Germany
hamburg,Hamburger SV,Germany
fortuna-dusseldorf,Fortuna Düsseldorf,Germany
nurnberg,1. FC Nürnberg,Germany
hannover,Hannover 96,Germany
st-pauli,FC St. Pauli,Germany
bochum,VfL Bochum,Germany
darmstadt,Darmstadt 98,Germany
karlsruhe,Karlsruher SC,Germany
kaiserslautern,1. FC Kaiserslautern,Germany
greuther-furth,SpVgg Greuther Fürth,Germany
dynamo-dresden,Dynamo Dresden,Germany
1860-munich,TSV 1860 Munich,Germany
psg,Paris Saint-Germain,France
marseille,Olympique de Marseille,France
lyon,Olympique Lyonnais,France
monaco,AS Monaco,France
lille,Lille,France
nice,OGC Nice,France
rennes,Stade Rennais,France
lens,RC Lens,France
nantes,FC Nantes,France
saint-etienne,Saint-Étienne,France
bordeaux,Bordeaux,France
toulouse,Toulouse,France
montpellier,Montpellier,France
strasbourg,RC Strasbourg,France
reims,Stade de Reims,France
brest,Stade Brestois,France
metz,FC Metz,France
lorient,Lorient,France
angers,Angers,France
auxerre,Auxerre,France
le-havre,Le Havre,France
paris-fc,Paris FC,France
ajax,Ajax,Netherlands
psv,PSV Eindhoven,Netherlands
feyenoord,Feyenoord,Netherlands
az,AZ Alkmaar,Netherlands
utrecht,FC Utrecht,Netherlands
vitesse,Vitesse,Netherlands
twente,FC Twente,Netherlands
groningen,FC Groningen,Netherlands
heerenveen,SC Heerenveen,Netherlands
ado-den-haag,ADO Den Haag,Netherlands
sparta-rotterdam,Sparta Rotterdam,Netherlands
willem-ii,Willem II,Netherlands
nec,NEC Nijmegen,Netherlands
pec-zwolle,PEC Zwolle,Netherlands
fortuna-sittard,Fortuna Sittard,Netherlands
heracles,Heracles Almelo,Netherlands
rkc,RKC Waalwijk,Netherlands
go-ahead-eagles,Go Ahead Eagles,Netherlands
excelsior,Excelsior Rotterdam,Netherlands
cambuur,SC Cambuur,Netherlands
benfica,Benfica,Portugal
porto,FC Porto,Portugal
sporting,Sporting CP,Portugal
braga,SC Braga,Portugal
vitoria-guimaraes,Vitória Guimarães,Portugal
boavista,Boavista,Portugal
maritimo,Marítimo,Portugal
belenenses,Belenenses,Portugal
rio-ave,Rio Ave,Portugal
pacos-ferreira,Paços de Ferreira,Portugal
portimonense,Portimonense,Portugal
estoril,Estoril,Portugal
moreirense,Moreirense,Portugal
gil-vicente,Gil Vicente,Portugal
famalicao,Famalicão,Portugal
arouca,Arouca,Portugal
casa-pia,Casa Pia,Portugal
estrela,Estrela da Amadora,Portugal
nacional,Nacional,Portugal
celtic,Celtic,Scotland
rangers,Rangers,Scotland
aberdeen,Aberdeen,Scotland
hibs,Hibernian,Scotland
hearts,Heart of Midlothian,Scotland
dundee-united,Dundee United,Scotland
kilmarnock,Kilmarnock,Scotland
st-johnstone,St Johnstone,Scotland
motherwell,Motherwell,Scotland
dundee,Dundee,Scotland
galatasaray,Galatasaray,Turkey
fenerbahce,Fenerbahçe,Turkey
besiktas,Beşiktaş,Turkey
trabzonspor,Trabzonspor,Turkey
basaksehir,İstanbul Başakşehir,Turkey
antalyaspor,Antalyaspor,Turkey
goztepe,Göztepe,Turkey
bursaspor,Bursaspor,Turkey
ankaragucu,Ankaragücü,Turkey
anderlecht,Anderlecht,Belgium
club-brugge,Club Brugge,Belgium
genk,KRC Genk,Belgium
standard-liege,Standard Liège,Belgium
gent,KAA Gent,Belgium
antwerp,Royal Antwerp,Belgium
charleroi,Charleroi,Belgium
union-saint-gilloise,Union Saint-Gilloise,Belgium
