id,title,year,description,category,region,difficulty,source
asia-van-lang-2879,Văn Lang State,-2879,Legend says the Hùng kings founded the early state of Văn Lang.,culture,asia,4,britannica
asia-dong-son-culture-700,Đông Sơn Bronze Culture,-700,The Đông Sơn culture flourished producing ornate bronze drums.,culture,asia,4,britannica
asia-au-lac-257,Âu Lạc Founded,-257,King An Dương Vương founded the kingdom of Âu Lạc.,politics,asia,4,britannica
asia-co-loa-citadel-257,Cổ Loa Citadel Built,-257,The spiral citadel of Cổ Loa was built near modern Hanoi.,technology,asia,5,britannica
asia-trieu-da-207,Triệu Đà Conquers Âu Lạc,-207,Zhao Tuo ended Âu Lạc and ruled the region as Nam Việt.,war,asia,4,britannica
asia-han-conquest-111,First Chinese Domination,-111,The Han dynasty annexed the region beginning a millennium of rule.,war,asia,3,britannica
asia-hai-ba-trung-40,Trưng Sisters Revolt,40,The Trưng sisters led a rebellion against Han rule.,war,asia,3,britannica
asia-ma-vien-43,Han Reassert Control,43,Han general Ma Yuan crushed the Trưng rebellion.,war,asia,4,britannica
asia-luy-lau-192,Luy Lâu Buddhist Center,192,Luy Lâu in Giao Châu became an early center of Buddhism.,culture,asia,5,britannica
asia-lady-trieu-248,Lady Triệu's Revolt,248,The warrior Lady Triệu led an uprising against Wu rule.,war,asia,4,britannica
asia-ly-nam-de-544,Vạn Xuân Founded,544,Lý Bí founded the kingdom of Vạn Xuân after defeating Liang forces.,politics,asia,4,britannica
asia-ly-bon-emperor-544,Lý Bí Becomes Emperor,544,Lý Bí proclaimed himself emperor taking the name Lý Nam Đế.,politics,asia,5,britannica
asia-trieu-quang-phuc-548,Triệu Quang Phục Leads Vạn Xuân,548,Triệu Quang Phục continued the resistance after Lý Nam Đế's death.,war,asia,5,britannica
asia-khuc-thua-du-905,Khúc Family Autonomy,905,Khúc Thừa Dụ seized power ending direct Tang rule.,politics,asia,5,britannica
asia-ngo-quyen-938,Ngô Quyền Defeats the South Han,938,Ngô Quyền won the Battle of Bạch Đằng and founded the Ngô dynasty.,war,asia,3,britannica
asia-bach-dang-stakes-938,Bạch Đằng River Stakes,938,Ngô Quyền used wooden stakes in the river to trap enemy ships.,war,asia,4,britannica
asia-dinh-bo-linh-968,Đinh Bộ Lĩnh Unifies Vietnam,968,Đinh Bộ Lĩnh united the country and founded Đại Cồ Việt.,politics,asia,4,britannica
asia-dai-co-viet-968,Đại Cồ Việt Established,968,The kingdom was renamed Đại Cồ Việt with its capital at Hoa Lư.,politics,asia,5,britannica
asia-hoa-lu-capital-968,Hoa Lư Becomes Capital,968,Hoa Lư in Ninh Bình became the imperial capital.,culture,asia,5,britannica
asia-le-hoan-980,Lê Hoàn Repels Song Invasion,980,Lê Hoàn defeated a Song dynasty invasion of the young state.,war,asia,4,britannica
asia-ly-cong-uan-1009,Lý Công Uẩn Founds the Lý Dynasty,1009,Lý Công Uẩn established the Lý dynasty after a coup.,politics,asia,4,britannica
asia-thang-long-1010,Thăng Long Becomes Capital,1010,Lý Công Uẩn moved the capital to Thăng Long.,politics,asia,4,britannica
asia-one-pillar-pagoda-1049,One Pillar Pagoda Built,1049,Emperor Lý Thái Tông built the One Pillar Pagoda in Hanoi.,culture,asia,5,britannica
asia-ly-thanh-tong-1054,Đại Việt Renamed,1054,Lý Thánh Tông renamed the kingdom Đại Việt.,politics,asia,5,britannica
asia-temple-of-literature-1070,Temple of Literature Founded,1070,Lý Thánh Tông founded the Temple of Literature in Hanoi.,culture,asia,4,britannica
asia-quoc-tu-giam-1076,Imperial Academy Founded,1076,Quốc Tử Giám opened as Vietnam's first university.,science,asia,4,britannica
asia-nhu-nguyet-1077,Battle of Như Nguyệt River,1077,Lý Thường Kiệt stopped a Song invasion at the Như Nguyệt River.,war,asia,4,britannica
asia-nam-quoc-son-ha-1077,First Declaration of Independence,1077,Lý Thường Kiệt's poem Nam Quốc Sơn Hà affirmed Vietnamese sovereignty.,culture,asia,4,britannica
asia-tran-dynasty-1226,Trần Dynasty Founded,1226,Trần Cảnh founded the Trần dynasty after a palace takeover.,politics,asia,4,britannica
asia-tran-thai-tong-1225,Trần Thái Tông Becomes Emperor,1225,Trần Cảnh became emperor at age eight.,politics,asia,5,britannica
asia-mongol-invasion-1258,First Mongol Invasion Repelled,1258,Trần troops drove out the first Mongol invasion.,war,asia,3,britannica
asia-mongol-invasion-1285,Second Mongol Invasion Repelled,1285,Kublai Khan's second invasion was defeated by the Trần army.,war,asia,3,britannica
asia-bach-dang-1288,Battle of Bạch Đằng,1288,Trần Hưng Đạo crushed the Mongol fleet at Bạch Đằng.,war,asia,2,britannica
asia-hung-dao-1288,Trần Hưng Đạo's Victory,1288,The decisive victory ended Mongol ambitions against Đại Việt.,war,asia,3,britannica
asia-ho-quy-ly-1400,Hồ Dynasty Founded,1400,Hồ Quý Ly overthrew the Trần dynasty and founded the Hồ dynasty.,politics,asia,4,britannica
asia-ming-occupation-1407,Ming Occupation Begins,1407,Ming forces conquered Đại Việt ending the Hồ dynasty.,war,asia,3,britannica
asia-lam-son-1418,Lam Sơn Uprising Begins,1418,Lê Lợi launched the Lam Sơn uprising against Ming rule.,war,asia,3,britannica
asia-nguyen-trai-1427,Nguyễn Trãi Advises Lê Lợi,1427,Nguyễn Trãi wrote strategy and poetry for the resistance.,culture,asia,4,britannica
asia-chi-lang-1427,Battle of Chi Lăng,1427,Lê Lợi's forces defeated the Ming at Chi Lăng.,war,asia,4,britannica
asia-le-dynasty-1428,Lê Dynasty Founded,1428,Lê Lợi became emperor founding the Lê dynasty.,politics,asia,3,britannica
asia-binh-ngo-dai-cao-1428,Bình Ngô Đại Cáo,1428,Nguyễn Trãi proclaimed independence in the Bình Ngô Đại Cáo.,culture,asia,4,britannica
asia-le-thanh-tong-1460,Lê Thánh Tông Rules,1460,Lê Thánh Tông began a golden age of reform.,politics,asia,4,britannica
asia-hong-duc-code-1483,Hồng Đức Code Issued,1483,The Hồng Đức code was Vietnam's greatest legal code.,politics,asia,5,britannica
asia-mack-dynasty-1527,Mạc Dynasty Founded,1527,Mạc Đăng Dung seized the throne founding the Mạc dynasty.,politics,asia,5,britannica
asia-trinh-nguyen-war-1627,Trịnh–Nguyễn War Begins,1627,The Trịnh and Nguyễn lords began a long civil war.,war,asia,4,britannica
asia-nguyen-lords-1558,Nguyễn Lords Move South,1558,Nguyễn Hoàng was sent south founding the Nguyễn lords.,politics,asia,5,britannica
asia-gia-dinh-1698,Gia Định Establishes Saigon,1698,Gia Định was organized as a district around Saigon.,politics,asia,4,britannica
asia-tay-son-uprising-1771,Tây Sơn Uprising Begins,1771,The Tây Sơn brothers rose up against the Nguyễn lords.,war,asia,3,britannica
asia-tay-son-phu-xuan-1776,Tây Sơn Take Phú Xuân,1776,Tây Sơn forces captured the Nguyễn capital Phú Xuân.,war,asia,5,britannica
asia-quang-trung-1788,Quang Trung Becomes Emperor,1788,Nguyễn Huệ proclaimed himself Emperor Quang Trung.,politics,asia,4,britannica
asia-dong-da-1789,Battle of Đống Đa,1789,Quang Trung defeated a Qing invasion at Đống Đa.,war,asia,4,britannica
asia-nguyen-dynasty-1802,Nguyễn Dynasty Founded,1802,Gia Long founded the Nguyễn dynasty unifying Vietnam.,politics,asia,3,britannica
asia-gia-long-unify-1802,Gia Long Unifies Vietnam,1802,Gia Long ended the Tây Sơn era and united the country.,politics,asia,4,britannica
asia-hue-citadel-1804,Huế Citadel Built,1804,Gia Long built the imperial citadel of Huế.,culture,asia,4,britannica
asia-viet-nam-name-1804,Vietnam Named Việt Nam,1804,Gia Long adopted the name Việt Nam for the country.,politics,asia,4,britannica
asia-gia-long-code-1815,Gia Long Code Issued,1815,The Gia Long legal code was promulgated.,politics,asia,5,britannica
asia-da-nang-attack-1858,French Attack Đà Nẵng,1858,French forces bombarded Đà Nẵng starting the colonial conquest.,war,asia,3,britannica
asia-treaty-saigon-1862,Treaty of Saigon Signed,1862,Vietnam ceded three southern provinces to France.,politics,asia,4,britannica
asia-cochinchina-1867,Cochinchina Annexed,1867,France completed its annexation of southern Vietnam.,politics,asia,4,britannica
asia-hanoi-citadel-1882,French Take Hanoi Citadel,1882,French troops captured the Hanoi citadel.,war,asia,4,britannica
asia-protectorate-1883,Protectorates Established,1883,Tonkin and Annam became French protectorates.,politics,asia,4,britannica
asia-can-vuong-1885,Cần Vương Movement,1885,Imperial loyalists fought the French in the Cần Vương rebellion.,war,asia,4,britannica
asia-duy-tan-hoi-1904,Duy Tân Hội Founded,1904,Phan Bội Châu founded the Duy Tân Hội reform society.,politics,asia,4,britannica
asia-phan-chu-trinh-1906,Phan Châu Trinh Campaigns,1906,Phan Châu Trinh advocated reforms and modern education.,politics,asia,5,britannica
asia-ho-chi-minh-1911,Nguyễn Tất Thành Goes Abroad,1911,Nguyễn Tất Thành left Vietnam on a French ship.,politics,asia,4,britannica
asia-communist-party-1930,Communist Party Founded,1930,Hồ Chí Minh founded the Communist Party of Vietnam.,politics,asia,4,britannica
asia-nghe-tinh-soviets-1930,Nghệ Tĩnh Soviets,1930,Peasant soviets rose up in Nghệ An and Hà Tĩnh.,politics,asia,4,britannica
asia-viet-minh-1941,Viet Minh Founded,1941,Hồ Chí Minh created the Viet Minh front.,politics,asia,3,britannica
asia-japanese-coup-1945,Japan Ends French Rule,1945,Japan overthrew the French administration in Vietnam.,war,asia,3,britannica
asia-august-revolution-1945,August Revolution,1945,The Viet Minh seized power across Vietnam.,politics,asia,3,britannica
asia-independence-declaration-1945,Independence Declared,1945,Hồ Chí Minh proclaimed independence in Ba Đình Square.,politics,asia,3,britannica
asia-national-assembly-1946,First National Assembly,1946,The first National Assembly convened the Democratic Republic government.,politics,asia,5,britannica
asia-first-indochina-war-1946,First Indochina War Begins,1946,War broke out between the Viet Minh and France.,war,asia,3,britannica
asia-dien-bien-phu-1954,Battle of Điện Biên Phủ,1954,Vietnamese forces defeated the French at Điện Biên Phủ.,war,asia,2,britannica
asia-geneva-accords-1954,Geneva Accords Signed,1954,Vietnam was temporarily divided at the 17th parallel.,politics,asia,3,britannica
asia-hanoi-liberated-1954,Hanoi Liberated,1954,Viet Minh forces entered Hanoi after the French withdrew.,politics,asia,4,britannica
asia-vietnam-war-1955,Vietnam War Begins,1955,Conflict intensified between North and South Vietnam.,war,asia,2,britannica
asia-ho-chi-minh-trail-1959,Ho Chi Minh Trail Opens,1959,Supply routes through Laos carried troops and arms south.,war,asia,4,britannica
asia-nlf-founded-1960,National Liberation Front Founded,1960,The NLF was formed to fight the South Vietnamese government.,politics,asia,4,britannica
asia-agent-orange-1961,Agent Orange Used,1961,US forces began spraying chemical defoliants in the South.,war,asia,4,britannica
asia-gulf-of-tonkin-1964,Gulf of Tonkin Incident,1964,Reported attacks led to broader US involvement.,war,asia,3,britannica
asia-rolling-thunder-1965,Operation Rolling Thunder,1965,US aircraft began sustained bombing of the North.,war,asia,4,britannica
asia-us-combat-troops-1965,US Combat Troops Arrive,1965,American ground troops deployed in force.,war,asia,3,britannica
asia-tet-offensive-1968,Tết Offensive,1968,North Vietnamese forces attacked cities across the South.,war,asia,2,britannica
asia-khe-sanh-1968,Siege of Khe Sanh,1968,Marines withstood a prolonged siege at Khe Sanh.,war,asia,4,britannica
asia-my-lai-1968,Mỹ Lai Massacre,1968,US soldiers killed hundreds of civilians at Mỹ Lai.,war,asia,3,britannica
asia-paris-accords-1973,Paris Peace Accords Signed,1973,The accords ended direct US military involvement.,politics,asia,3,britannica
asia-fall-of-saigon-1975,South Vietnam Falls,1975,North Vietnamese forces captured Saigon on April 30.,war,asia,2,britannica
asia-reunification-1976,Vietnam Reunified,1976,Vietnam was formally reunified as a socialist state.,politics,asia,3,britannica
asia-cambodia-invasion-1978,Invasion of Cambodia,1978,Vietnamese forces toppled the Khmer Rouge regime.,war,asia,3,britannica
asia-boat-people-1978,Boat People Crisis,1978,Thousands fled Vietnam by sea as refugees.,culture,asia,4,britannica
asia-doi-moi-1986,Đổi Mới Reforms,1986,The party launched market reforms known as Đổi Mới.,politics,asia,2,britannica
asia-us-embargo-lifted-1994,US Embargo Lifted,1994,The United States ended its trade embargo against Vietnam.,politics,asia,3,britannica
asia-asean-1995,Vietnam Joins ASEAN,1995,Vietnam became a member of ASEAN.,politics,asia,4,asean
asia-internet-vietnam-1997,Vietnam Connects to Internet,1997,Vietnam gained full internet access.,technology,asia,5,britannica
asia-wto-2007,Vietnam Joins WTO,2007,Vietnam joined the World Trade Organization.,politics,asia,4,wto
asia-u23-asian-cup-2018,Vietnam U23 Reach Final,2018,Vietnam's under-23 team reached the Asian Cup final.,sports,asia,4,britannica
asia-covid-vaccination-2021,Covid-19 Vaccination Drive,2021,Vietnam launched a mass vaccination campaign.,medicine,asia,4,britannica
asia-seagames-31-2022,Vietnam Hosts SEA Games,2022,Hanoi hosted the 31st SEA Games.,sports,asia,4,britannica
asia-vinfast-2017,VinFast Founded,2017,VinFast became Vietnam's first major car manufacturer.,technology,asia,5,britannica
